GLOBAL,CATEGORY,YEAR,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,TYPE,3526,3510,3505,3522,3511,3525,3509,3517,3506,3579,3572,3571,3577,3573,3576,3575,3574,3578,3524,3508,3519,3520,3507,3516,3518,3521,3501,3528,3514,3502,3513,3527,3515,3512,3529,3503,3523,3504,Z-0-PROVINSI,Z-1-NASIONAL
,Pertanian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,>Jumlah Petani,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Laki-Laki,,,Jiwa,,,,,,130928,218892,206933,235166,151227,87713,341804,117453,189750,17005,5889,5985,2883,6353,1867,3821,9419,10049,164647,163303,106351,87108,321461,85890,156414,151638,129128,120695,165351,164125,196636,127168,41260,111643,211708,142494,197177,143201,,
,,,Perempuan,,,Jiwa,,,,,,71240,80992,68964,107168,40902,23490,84780,64980,40438,4247,1417,1155,747,911,472,528,2273,1817,52655,57767,32427,20309,69922,33824,41269,85501,58276,30871,53257,66892,52269,35664,9365,30906,40239,49796,64395,77447,,
,,,Jumlah (L+P),,,Jiwa,,,,,,202168,299884,275897,342334,192129,111203,426584,182433,230188,21252,7306,7140,3630,7264,2339,4349,11692,11866,217302,221070,138778,107417,391383,119714,197683,237139,187404,151566,218608,231017,248905,162832,50625,142549,251947,192290,261572,220648,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,>Kelompok Umur Kepala Rumah Tangga (Tahun),2018,,,,,,,,nodiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,< 15 - 34,,,Jiwa,,,,,,8489,15019,13322,15351,23243,3791,36807,8291,11037,1230,328,372,107,595,192,221,842,773,8547,14761,4790,2716,28707,3732,10456,6772,7945,11601,17377,8033,24671,11584,1103,16089,16417,9535,13850,5494,,
,,,35 - 44,,,Jiwa,,,,,,27031,47226,39018,52858,35752,17609,81931,25332,39974,3635,1165,1305,438,1284,338,885,2586,2152,30560,37655,17964,14625,69669,13984,33981,30501,23030,35254,40960,28172,54054,32633,4959,28105,54492,26793,42519,22233,,
,,,45 - 54,,,Jiwa,,,,,,40969,71071,63503,76311,46260,28267,109603,40957,61018,4860,1779,1924,791,2016,539,1388,3533,3281,56522,52571,33274,26458,94265,28788,49845,48053,36586,45183,56824,52049,65734,48017,13494,34234,76964,44074,62193,43653,,
,,,55 - 64,,,Jiwa,,,,,,40443,59673,59096,66575,36395,30152,86811,39794,54366,4519,1846,1626,1174,1839,696,1122,2281,2942,57439,41773,36198,29616,87867,29893,44467,49604,35509,31091,45094,52819,44891,39032,15555,28710,63384,39322,54524,45229,,
,,,? 65,,,Jiwa,,,,,,25470,45750,56765,40605,22689,15061,50040,25655,38092,2659,1514,1263,879,1094,337,521,1087,1373,28802,22860,26390,25430,60887,16628,31466,35945,31473,15418,22342,44664,19642,16572,8890,16280,30342,32761,31297,37966,,
,,,Jumlah,,,Jiwa,,,,,,142402,238739,231704,251700,164339,94880,365192,140029,204487,16903,6632,6490,3389,6828,2102,4137,10329,10521,181870,169620,118616,98845,341395,93025,170215,170875,134543,138547,182597,185737,208992,147838,44001,123418,241599,152485,204383,154575,,
